MR	NumUP	NumDN	Index_maVitro	Index_maVivo	Index_hmVitro	Index_hmVivo	Index_Focused
KCNH7	0	1	0	0	0	0	0
WISP1	0	1	0	0	0	0	0
ARR3	0	2	0	0	0	0	0
DUOX1	0	1	0	0	0	0	0
MRGPRX4	0	1	0	0	0	0	0
USF2	0	1	0	1	0	1	1
TG	0	2	0	0	0	0	0
MYT1	0	3	0	0	0	0	0
ZSWIM5	0	2	0	0	0	0	0
PDGFB	0	1	0	0	0	0	0
GRM2	0	1	0	0	0	0	0
PDYN	0	1	0	0	0	0	0
FERD3L	0	1	0	0	0	0	0
CSF1	0	2	0	0	0	0	0
ASB10	0	1	0	0	0	0	0
ARHGEF25	0	1	0	0	0	0	0
NMUR2	0	1	0	0	0	0	0
TRAF1	0	2	0	0	0	0	0
FOXN4	0	1	0	0	0	0	0
RASGRF1	0	2	0	0	0	0	0
ADGRF3	0	1	0	0	0	0	0
PAX9	0	3	0	0	0	0	0
FSHR	0	2	0	0	0	0	0
ITLN1	0	1	0	0	0	0	0
PCLO	0	1	0	0	0	0	0
PTCH2	0	2	0	0	0	0	0
ACTL6B	0	1	0	0	0	0	0
OSMR	0	2	0	0	0	0	0
LHX2	0	1	0	0	0	0	0
GPR21	0	1	0	0	0	0	0
P2RX2	0	2	0	0	0	0	0
ASIP	0	2	0	0	0	0	0
DGKI	0	1	0	0	0	0	0
OR1I1	0	1	0	0	0	0	0
PFKFB1	0	2	0	0	0	0	0
KCNIP2	0	1	0	0	0	0	0
THY1	0	2	0	0	0	0	0
RASAL1	0	2	0	0	0	0	0
CHRNA6	0	1	0	0	0	0	0
DGKK	0	2	0	0	0	0	0
LMX1B	0	1	0	0	0	0	0
GABRA4	0	1	0	0	0	0	0
MAPK10	0	1	0	0	0	0	0
GIT1	0	2	0	0	0	0	0
HTR5A	0	2	0	0	0	0	0
ECE1	0	2	0	0	0	0	0
GABRB3	0	1	0	0	0	0	0
IQSEC2	0	2	0	0	0	0	0
GABRA5	0	2	0	0	0	0	0
FGF22	0	1	0	0	0	0	0
SALL4	0	1	0	0	0	0	0
SOX9	0	2	0	0	0	0	1
OR7E24	0	1	0	0	0	0	0
DLX6	0	1	0	0	0	0	0
RUNDC3A	0	4	0	0	0	0	0
SCGB1A1	0	2	0	0	0	0	0
SMAD5-AS1	0	1	0	0	0	0	0
RGS16	0	2	0	0	0	0	0
OTX1	0	2	0	0	0	0	0
AXIN2	0	1	0	0	0	0	0
PPP1R17	0	1	0	0	0	0	0
FGF11	0	1	0	0	0	0	0
MAMSTR	0	1	0	0	0	0	0
OR8B8	0	1	0	0	0	0	0
NPBWR1	0	1	0	0	0	0	0
EPHA8	0	2	0	0	0	0	0
